Site;Transmitter;Azimuth (°);Site.Longitude;Site.Latitude
1090;LU1090_1;130;39,401261111E;48,585525N
1090;LU1090_2;210;39,401261111E;48,585525N
1090;LU1090_3;320;39,401261111E;48,585525N
119;119G1;85;39,642433819E;48,837260193N
119;119G2;200;39,642433819E;48,837260193N
119;119G3;310;39,642433819E;48,837260193N
120;120D4;10;39,565652778E;49,210019444N
120;120D5;140;39,565652778E;49,210019444N
120;120D6;240;39,565652778E;49,210019444N
121;121G1;90;40,117004246E;49,38084655N
121;121D5;230;40,117004246E;49,38084655N
121;121D6;310;40,117004246E;49,38084655N
122;122D4;20;39,546299743E;49,512590814N
122;122D5;105;39,546299743E;49,512590814N
122;122D6;245;39,546299743E;49,512590814N
123;123D4;95;39,130869601E;49,530806729N
123;123D5;220;39,130869601E;49,530806729N
123;123D6;340;39,130869601E;49,530806729N
124;124D4;140;38,737703725E;49,53417237N
124;124D5;245;38,737703725E;49,53417237N
124;124D6;340;38,737703725E;49,53417237N
125;125G1;60;38,860583333E;49,285269444N
125;125G2;125;38,860583333E;49,285269444N
125;125G3;260;38,860583333E;49,285269444N
127;127D4;10;39,51E;48,66N
127;127D5;120;39,51E;48,66N
127;127D6;240;39,51E;48,66N
128;128D4;20;38,118524778E;49,457775772N
128;128D5;150;38,118524778E;49,457775772N
128;128D6;265;38,118524778E;49,457775772N
129;129D4;35;38,968055556E;48,955555556N
129;129D5;110;38,968055556E;48,955555556N
131;131G1;60;39,000720907E;49,68693815N
131;131G2;140;39,000720907E;49,68693815N
131;131G3;240;39,000720907E;49,68693815N
132;132G1;60;38,605246199E;49,786329204N
132;132G2;150;38,605246199E;49,786329204N
132;132G3;290;38,605246199E;49,786329204N
133;133G1;130;38,277344463E;49,907198194N
133;133G2;220;38,277344463E;49,907198194N
133;133G3;330;38,277344463E;49,907198194N
133;133D5;220;38,277344463E;49,907198194N
133;133D6;330;38,277344463E;49,907198194N
133;133D4;110;38,277344463E;49,907198194N
136;136G1;15;38,879931688E;49,148275344N
136;136G3;160;38,879931688E;49,148275344N
136;136D5;90;38,879931688E;49,148275344N
138;138D4;120;39,22691192E;48,740366105N
138;138D5;230;39,22691192E;48,740366105N
138;138D6;340;39,22691192E;48,740366105N
138;138G1;119;39,22691192E;48,740366105N
138;138G2;230;39,22691192E;48,740366105N
138;138G3;340;39,22691192E;48,740366105N
144;144G1;0;40,030558377E;49,463568596N
144;144D6;270;40,030558377E;49,463568596N
145;145D4;120;38,167064934E;49,403499378N
145;145D5;180;38,167064934E;49,403499378N
145;145D6;300;38,167064934E;49,403499378N
168;168G1;0;38,176131059E;49,213971002N
168;168G2;80;38,176131059E;49,213971002N
168;168G3;170;38,176131059E;49,213971002N
168;168D5;80;38,176131059E;49,213971002N
182;182G1;70;39,094202657E;49,247607545N
182;182G2;160;39,094202657E;49,247607545N
182;182G3;300;39,094202657E;49,247607545N
183;183D4;100;39,237759646E;48,736170073N
183;183D5;240;39,237759646E;48,736170073N
183;183D6;355;39,237759646E;48,736170073N
185;185G2;140;38,941348377E;49,034080349N
185;185G3;350;38,941348377E;49,034080349N
185;185D4;70;38,941348377E;49,034080349N
185;185D5;140;38,941348377E;49,034080349N
185;185D6;350;38,941348377E;49,034080349N
225;225D4;0;38,918331267E;49,287501797N
225;225D5;130;38,918331267E;49,287501797N
225;225D6;240;38,918331267E;49,287501797N
226;226D4;90;38,918066918E;49,272758511N
226;226D5;175;38,918066918E;49,272758511N
226;226D6;270;38,918066918E;49,272758511N
228;228D4;60;38,905607679E;49,282220933N
228;228D5;150;38,905607679E;49,282220933N
228;228D6;300;38,905607679E;49,282220933N
244;244D4;90;38,702925399E;49,297646161N
244;244G2;160;38,702925399E;49,297646161N
244;244G3;320;38,702925399E;49,297646161N
249;249G1;120;38,457733849E;49,222067991N
249;249G2;260;38,457733849E;49,222067991N
249;249G3;340;38,457733849E;49,222067991N
249;249D4;120;38,457733849E;49,222067991N
249;249D5;260;38,457733849E;49,222067991N
249;249D6;340;38,457733849E;49,222067991N
271;271G1;60;40,039102922E;49,353282925N
271;271D5;140;40,039102922E;49,353282925N
271;271D6;240;40,039102922E;49,353282925N
280;280G1;50;38,621510694E;49,213707431N
280;280G2;125;38,621510694E;49,213707431N
280;280G3;220;38,621510694E;49,213707431N
401;401G1;85;38,461982512E;49,334087586N
401;401G2;170;38,461982512E;49,334087586N
401;401G3;359;38,461982512E;49,334087586N
407;407_GSM_1;50;39,120956185E;49,039735051N
407;407_GSM_2;140;39,120956185E;49,039735051N
407;407_GSM_3;270;39,120956185E;49,039735051N
414;414D4;0;39,48154187E;48,65179911N
414;414D5;160;39,48154187E;48,65179911N
415;415G1;0;38,818036547E;49,41998371N
415;415G2;180;38,818036547E;49,41998371N
415;415G3;270;38,818036547E;49,41998371N
416;416D6;310;39,002537733E;49,433493339N
416;416G1;30;39,002537733E;49,433493339N
416;416G2;200;39,002537733E;49,433493339N
423;423G1;0;39,265504486E;48,808500188N
423;423G2;110;39,265504486E;48,808500188N
423;423G3;180;39,265504486E;48,808500188N
424;424G1;30;38,591556E;49,115152N
424;424G2;190;38,591556E;49,115152N
424;424G3;260;38,591556E;49,115152N
424;424D4;30;38,591556E;49,115152N
444;444G1;20;39,150067971E;48,924178741N
444;444G2;160;39,150067971E;48,924178741N
444;444G3;275;39,150067971E;48,924178741N
520;520G1;0;39,133184683E;48,863783774N
520;520G2;160;39,133184683E;48,863783774N
525;525G1;0;38,963961963E;49,357426051N
525;525G2;200;38,963961963E;49,357426051N
525;525G3;280;38,963961963E;49,357426051N
526;526D4;50;38,900093082E;49,275874694N
526;526D5;170;38,900093082E;49,275874694N
526;526D6;280;38,900093082E;49,275874694N
527;527G1;5;39,518334547E;48,691267587N
527;527G2;140;39,518334547E;48,691267587N
527;527G3;250;39,518334547E;48,691267587N
528;528D4;40;38,895201601E;49,281033596N
528;528D5;160;38,895201601E;49,281033596N
528;528D6;280;38,895201601E;49,281033596N
529;529G1;80;39,037676138E;48,940660421N
529;529G2;170;39,037676138E;48,940660421N
529;529G3;315;39,037676138E;48,940660421N
533;533D4;90;38,295562196E;49,925262913N
